naam,dag,tijd,dag_tijd,startdatum,duur,periode,prijs,cursusnummer,docent,taal,status,url,categorie,beschrijving
Acting & Theatremaking,ma,10:30 - 17:00,ma 10:30 - 17:00,15-07-2024,5 dagen,blok 4 - zomer,student:€195jong-alumnus UvA/HvA:€292oud-alumnus UvA/HvA:€292medewerker UvA/HvA:€292overigen:€390,523925,Pieter van Boort en Lukas Schmidt,English,Deze cursus is gestart,https://www.crea.nl/courses/zomercursussen/theater-zomer/acting-theatremaking/,theater (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

Note: this course is in English!

In this course we will dive into different styles and forms of theater. We playfully approach acting and making scenes from divers sources; to make something out of nothing. In this course you will see what is already there to connect (mostly physical) performance to daily life."
Acting: Basics,wo,17:15 - 19:15,wo 17:15 - 19:15,16-04-2025,9 weken,block 3 - spring,student:€115jong-alumnus UvA/HvA:€173oud-alumnus UvA/HvA:€196medewerker UvA/HvA:€173overigen:€230,524304,Danilo Nisi,English,Schrijf je in voor de wachtlijst,https://www.crea.nl/courses/theater/acting-basics/,theater,"Let op: deze cursus wordt in het Engels gegeven.

An introduction to the basics of theatre; using a comprehensive array of methods.

What will you be doing? Every lesson you will train one of the acting skills a starting actor needs; such as: improvisation; voice; movement; the ensemble and the use of text. 

The classes will always start with a physical and mental warming up so everybody is ready to start acting. After that we will focus on one aspect and will discover how you can use that aspect in your performance. In the course you will be introduced to different styles of theatre. You will be taught in various forms of acting and you will learn how to apply these during the production of scenes. We focus on collaboration; initiative and confidence of participants by creating an awareness of the theatrical tools you can use on stage and in daily life."
Algemene Muziektheorie,di,20:15 - 21:45,di 20:15 - 21:45,15-04-2025,9 weken,block 3 - spring,student:€92jong-alumnus UvA/HvA:€141oud-alumnus UvA/HvA:€161medewerker UvA/HvA:€141overigen:€189,224308,Kees Arntzen,Nederlands,Schrijf je in,https://www.crea.nl/courses/muziek/algemene-muziektheorie/,muziek,In deze cursus leer je wat meer over ‘hoe muziek in elkaar zit’. Wat is een akkoord; wanneer is het consonant; wanneer is het dissonant? Wat is het geheim van een goede melodie? Hoe werkt twaalftoonsmuziek en waarom kun je de meeste songs met drie akkoorden begeleiden? Wat doen maat en ritme met je muzikale ervaring? Wat ga je doen? Je krijgt tijdens de les kleine opdrachtjes om uit te werken. Als je al zingt of een instrument speelt; is dat een voordeel. Indien nodig; wordt het notenschrift aangeleerd. 
Analoge Collage,ma,10:30 - 17:00,ma 10:30 - 17:00,22-07-2024,5 dagen,blok 4 - zomer,student:€195jong-alumnus UvA/HvA:€292oud-alumnus UvA/HvA:€292medewerker UvA/HvA:€292overigen:€390,623927,Martijn den Ouden,English; Nederlands,Deze cursus is gestart,https://www.crea.nl/courses/zomercursussen/beeldend-zomer/analoge-collage/,beeldend (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

In deze cursus stap je in de wondere wereld van de collage.

De kunst van een collage zit hem in het creëren van een veelzeggend; poëtisch beeld door gebruik te maken van bestaande beelden. Een nieuw beeld dat een verhaal vertelt; een geheim openbaart of juist een waarheid verhult. En alles wordt met de hand gedaan. Schaar; papier; lijm. Het vertrekpunt is het platte vlak en langzaam maar zeker evolueren de collages tot een ruimtelijke vorm. Af en toe kijken we even mee over de schouders van inspirerende kunstenaars zoals Picasso en Hannah Höch."
Analoge Fotografie,ma,10:30 - 17:00,ma 10:30 - 17:00,29-07-2024,5 dagen,blok 4 - zomer,student:€195jong-alumnus UvA/HvA:€292oud-alumnus UvA/HvA:€292medewerker UvA/HvA:€292overigen:€390,123943,Jonne op de Weegh,English; Nederlands,Deze cursus is gestart,https://www.crea.nl/courses/zomercursussen/fotografie-zomer/analoge-fotografie-zomer/,fotografie (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

Ga terug waar fotografie mee begon: analoge fotografie. In plaats van onbeperkt foto’s maken met je telefoon of digitale camera maak je bewuste foto’s op een echt rolletje. Leer je analoge camera goed in te stellen; ontvang alle tips en tricks rondom het gebruiken van film en raak geïnspireerd door bekende fotografen om je eigen fotoseries te ontwikkelen.

Wat gaan we doen?
In deze stoomcursus leer je anders kijken naar je omgeving en dat bewust vast te leggen. Door middel van creatieve fotografie elementen gaan we samen de Amsterdamse straten op om een rolletje vol te schieten. Vanuit de 36 foto’s op je rolletje kiezen we de beste beelden en werken we naar een groepsexpositie toe die we zelf gaan cureren en uitwerken."
Analoge Fotografie,ma,10:30 - 17:00,ma 10:30 - 17:00,29-07-2024,5 dagen,blok 4 - zomer,student:€195jong-alumnus UvA/HvA:€292oud-alumnus UvA/HvA:€292medewerker UvA/HvA:€292overigen:€390,123943,Jonne op de Weegh,English; Nederlands,Deze cursus is gestart,https://www.crea.nl/courses/zomercursussen/fotografie-zomer/analoge-fotografie-dagcursus/,fotografie (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

Ga terug waar fotografie mee begon: analoge fotografie. In plaats van onbeperkt foto’s maken met je telefoon of digitale camera maak je bewuste foto’s op een echt rolletje. Leer je analoge camera goed in te stellen; ontvang alle tips en tricks rondom het gebruiken van film en raak geïnspireerd door bekende fotografen om je eigen fotoseries te ontwikkelen. Wil je wel meedoen maar heb je (nog) geen analoge camera? Geen probleem; je kan ook meedoen als je een wegwerpcamera meeneemt!

Wat gaan we doen? Tijdens deze cursus leer je anders kijken naar je omgeving en dat bewust vast te leggen. Door middel van creatieve fotografie elementen gaan we samen de Amsterdamse straten op om een rolletje vol te schieten (36 foto’s) binnen 2;5 uur tijd!"
Analoge Fotografie,ma,10:30 - 17:00,ma 10:30 - 17:00,29-07-2024,5 dagen,blok 4 - zomer,student:€195jong-alumnus UvA/HvA:€292oud-alumnus UvA/HvA:€292medewerker UvA/HvA:€292overigen:€390,123943,Jonne op de Weegh,English; Nederlands,Deze cursus is gestart,https://www.crea.nl/courses/fotografie/analoge-fotografie/,fotografie,"Ga terug waar fotografie mee begon: analoge fotografie. In plaats van onbeperkt foto’s maken met je mobiel maak je bewuste foto’s op een echt; old-school rolletje. Leer hoe je (ingewikkelde) analoge camera écht werkt en hoe je zelf een rolletje kunt verwisselen. Los van wat basistheorie als ISO-waarde; diafragma en sluitertijd gaan we ons ook focussen op creatieve elementen die je kunt toepassen om jouw foto’s nóg creatiever en interessanter te maken!

Wat gaan we doen?
De 10-weken cursus zal een afwisseling worden van theorie en praktijk: fotografie leer je immers het beste door het vooral veel te doen! Ook ga je in deze lessenreeks op zoek naar je eigen stijl als (analoge) fotograaf en op welke onderwerpen binnen de fotografie jij je wilt focussen. Al deze elementen zullen samen komen in onze gezamenlijke eindexpositie! In de laatste les presenteert elke deelnemer een drieluik foto’s die gedurende de 10-weken analoog zijn geschoten.

‘’ Als een beginner met een simpele point-&-shoot die nogal onzeker was; voel ik mij nu zelfverzekerder met fotografie; mijn analoge camera en heb ik stappen buiten mijn comfortzone gezet’’ (cursist zomercursus Analoge Fotografie 2024)

‘’Het is fijn om al mijn vragen te kunnen stellen en een helder antwoord op je vragen te krijgen. Iets wat You; Tube niet kon; J Ook is de cursus voor iedereen toegankelijk: van beginners tot mensen die al meerdere fotografiecursussen hebben gevolgd!’’ (cursist zomercursus Analoge Fotografie 2024)

‘’Ik heb meer inzicht gekregen in mijn eigen fotografie stijl met erg behulpzame en persoonlijke tips! Jonne creëert een veilige omgeving waar niets geforceerd moest en waar we met een gerust hart ons eigen werk; tops & tips konden delen!’’ (cursist zomercursus Analoge Fotografie 2024)"
Analoge Fotografie,za,11:00 - 16:00,za 11:00 - 16:00,13-07-2024,1 dag,blok 4 - zomer,student:€60jong-alumnus UvA/HvA:€90oud-alumnus UvA/HvA:€90medewerker UvA/HvA:€90overigen:€120,123964,Jonne op de Weegh,English; Nederlands,Deze cursus is gestart,https://www.crea.nl/courses/zomercursussen/fotografie-zomer/analoge-fotografie-zomer/,fotografie (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

Ga terug waar fotografie mee begon: analoge fotografie. In plaats van onbeperkt foto’s maken met je telefoon of digitale camera maak je bewuste foto’s op een echt rolletje. Leer je analoge camera goed in te stellen; ontvang alle tips en tricks rondom het gebruiken van film en raak geïnspireerd door bekende fotografen om je eigen fotoseries te ontwikkelen.

Wat gaan we doen?
In deze stoomcursus leer je anders kijken naar je omgeving en dat bewust vast te leggen. Door middel van creatieve fotografie elementen gaan we samen de Amsterdamse straten op om een rolletje vol te schieten. Vanuit de 36 foto’s op je rolletje kiezen we de beste beelden en werken we naar een groepsexpositie toe die we zelf gaan cureren en uitwerken."
Analoge Fotografie,za,11:00 - 16:00,za 11:00 - 16:00,13-07-2024,1 dag,blok 4 - zomer,student:€60jong-alumnus UvA/HvA:€90oud-alumnus UvA/HvA:€90medewerker UvA/HvA:€90overigen:€120,123964,Jonne op de Weegh,English; Nederlands,Deze cursus is gestart,https://www.crea.nl/courses/zomercursussen/fotografie-zomer/analoge-fotografie-dagcursus/,fotografie (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

Ga terug waar fotografie mee begon: analoge fotografie. In plaats van onbeperkt foto’s maken met je telefoon of digitale camera maak je bewuste foto’s op een echt rolletje. Leer je analoge camera goed in te stellen; ontvang alle tips en tricks rondom het gebruiken van film en raak geïnspireerd door bekende fotografen om je eigen fotoseries te ontwikkelen. Wil je wel meedoen maar heb je (nog) geen analoge camera? Geen probleem; je kan ook meedoen als je een wegwerpcamera meeneemt!

Wat gaan we doen? Tijdens deze cursus leer je anders kijken naar je omgeving en dat bewust vast te leggen. Door middel van creatieve fotografie elementen gaan we samen de Amsterdamse straten op om een rolletje vol te schieten (36 foto’s) binnen 2;5 uur tijd!"
Analoge Fotografie,za,11:00 - 16:00,za 11:00 - 16:00,13-07-2024,1 dag,blok 4 - zomer,student:€60jong-alumnus UvA/HvA:€90oud-alumnus UvA/HvA:€90medewerker UvA/HvA:€90overigen:€120,123964,Jonne op de Weegh,English; Nederlands,Deze cursus is gestart,https://www.crea.nl/courses/fotografie/analoge-fotografie/,fotografie,"Ga terug waar fotografie mee begon: analoge fotografie. In plaats van onbeperkt foto’s maken met je mobiel maak je bewuste foto’s op een echt; old-school rolletje. Leer hoe je (ingewikkelde) analoge camera écht werkt en hoe je zelf een rolletje kunt verwisselen. Los van wat basistheorie als ISO-waarde; diafragma en sluitertijd gaan we ons ook focussen op creatieve elementen die je kunt toepassen om jouw foto’s nóg creatiever en interessanter te maken!

Wat gaan we doen?
De 10-weken cursus zal een afwisseling worden van theorie en praktijk: fotografie leer je immers het beste door het vooral veel te doen! Ook ga je in deze lessenreeks op zoek naar je eigen stijl als (analoge) fotograaf en op welke onderwerpen binnen de fotografie jij je wilt focussen. Al deze elementen zullen samen komen in onze gezamenlijke eindexpositie! In de laatste les presenteert elke deelnemer een drieluik foto’s die gedurende de 10-weken analoog zijn geschoten.

‘’ Als een beginner met een simpele point-&-shoot die nogal onzeker was; voel ik mij nu zelfverzekerder met fotografie; mijn analoge camera en heb ik stappen buiten mijn comfortzone gezet’’ (cursist zomercursus Analoge Fotografie 2024)

‘’Het is fijn om al mijn vragen te kunnen stellen en een helder antwoord op je vragen te krijgen. Iets wat You; Tube niet kon; J Ook is de cursus voor iedereen toegankelijk: van beginners tot mensen die al meerdere fotografiecursussen hebben gevolgd!’’ (cursist zomercursus Analoge Fotografie 2024)

‘’Ik heb meer inzicht gekregen in mijn eigen fotografie stijl met erg behulpzame en persoonlijke tips! Jonne creëert een veilige omgeving waar niets geforceerd moest en waar we met een gerust hart ons eigen werk; tops & tips konden delen!’’ (cursist zomercursus Analoge Fotografie 2024)"
Analoge Fotografie,do,19:00 - 21:30,do 19:00 - 21:30,10-04-2025,9 weken,block 3 - spring,student:€150jong-alumnus UvA/HvA:€226oud-alumnus UvA/HvA:€266medewerker UvA/HvA:€226overigen:€313,124310,Jonne op de Weegh,English; Nederlands,Schrijf je in,https://www.crea.nl/courses/zomercursussen/fotografie-zomer/analoge-fotografie-zomer/,fotografie (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

Ga terug waar fotografie mee begon: analoge fotografie. In plaats van onbeperkt foto’s maken met je telefoon of digitale camera maak je bewuste foto’s op een echt rolletje. Leer je analoge camera goed in te stellen; ontvang alle tips en tricks rondom het gebruiken van film en raak geïnspireerd door bekende fotografen om je eigen fotoseries te ontwikkelen.

Wat gaan we doen?
In deze stoomcursus leer je anders kijken naar je omgeving en dat bewust vast te leggen. Door middel van creatieve fotografie elementen gaan we samen de Amsterdamse straten op om een rolletje vol te schieten. Vanuit de 36 foto’s op je rolletje kiezen we de beste beelden en werken we naar een groepsexpositie toe die we zelf gaan cureren en uitwerken."
Analoge Fotografie,do,19:00 - 21:30,do 19:00 - 21:30,10-04-2025,9 weken,block 3 - spring,student:€150jong-alumnus UvA/HvA:€226oud-alumnus UvA/HvA:€266medewerker UvA/HvA:€226overigen:€313,124310,Jonne op de Weegh,English; Nederlands,Schrijf je in,https://www.crea.nl/courses/zomercursussen/fotografie-zomer/analoge-fotografie-dagcursus/,fotografie (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

Ga terug waar fotografie mee begon: analoge fotografie. In plaats van onbeperkt foto’s maken met je telefoon of digitale camera maak je bewuste foto’s op een echt rolletje. Leer je analoge camera goed in te stellen; ontvang alle tips en tricks rondom het gebruiken van film en raak geïnspireerd door bekende fotografen om je eigen fotoseries te ontwikkelen. Wil je wel meedoen maar heb je (nog) geen analoge camera? Geen probleem; je kan ook meedoen als je een wegwerpcamera meeneemt!

Wat gaan we doen? Tijdens deze cursus leer je anders kijken naar je omgeving en dat bewust vast te leggen. Door middel van creatieve fotografie elementen gaan we samen de Amsterdamse straten op om een rolletje vol te schieten (36 foto’s) binnen 2;5 uur tijd!"
Analoge Fotografie,do,19:00 - 21:30,do 19:00 - 21:30,10-04-2025,9 weken,block 3 - spring,student:€150jong-alumnus UvA/HvA:€226oud-alumnus UvA/HvA:€266medewerker UvA/HvA:€226overigen:€313,124310,Jonne op de Weegh,English; Nederlands,Schrijf je in,https://www.crea.nl/courses/fotografie/analoge-fotografie/,fotografie,"Ga terug waar fotografie mee begon: analoge fotografie. In plaats van onbeperkt foto’s maken met je mobiel maak je bewuste foto’s op een echt; old-school rolletje. Leer hoe je (ingewikkelde) analoge camera écht werkt en hoe je zelf een rolletje kunt verwisselen. Los van wat basistheorie als ISO-waarde; diafragma en sluitertijd gaan we ons ook focussen op creatieve elementen die je kunt toepassen om jouw foto’s nóg creatiever en interessanter te maken!

Wat gaan we doen?
De 10-weken cursus zal een afwisseling worden van theorie en praktijk: fotografie leer je immers het beste door het vooral veel te doen! Ook ga je in deze lessenreeks op zoek naar je eigen stijl als (analoge) fotograaf en op welke onderwerpen binnen de fotografie jij je wilt focussen. Al deze elementen zullen samen komen in onze gezamenlijke eindexpositie! In de laatste les presenteert elke deelnemer een drieluik foto’s die gedurende de 10-weken analoog zijn geschoten.

‘’ Als een beginner met een simpele point-&-shoot die nogal onzeker was; voel ik mij nu zelfverzekerder met fotografie; mijn analoge camera en heb ik stappen buiten mijn comfortzone gezet’’ (cursist zomercursus Analoge Fotografie 2024)

‘’Het is fijn om al mijn vragen te kunnen stellen en een helder antwoord op je vragen te krijgen. Iets wat You; Tube niet kon; J Ook is de cursus voor iedereen toegankelijk: van beginners tot mensen die al meerdere fotografiecursussen hebben gevolgd!’’ (cursist zomercursus Analoge Fotografie 2024)

‘’Ik heb meer inzicht gekregen in mijn eigen fotografie stijl met erg behulpzame en persoonlijke tips! Jonne creëert een veilige omgeving waar niets geforceerd moest en waar we met een gerust hart ons eigen werk; tops & tips konden delen!’’ (cursist zomercursus Analoge Fotografie 2024)"
Analoge Fotografie in één Dag,zo,11:00 - 16:00,zo 11:00 - 16:00,15-06-2025,1 dag,block 3 - spring,student:€70jong-alumnus UvA/HvA:€105oud-alumnus UvA/HvA:€120medewerker UvA/HvA:€105overigen:€140,124313,Jonne op de Weegh,English; Nederlands,Schrijf je in,https://www.crea.nl/courses/fotografie/analoge-fotografie-in-een-dag/,fotografie,"Let op! Voor dagcursussen sluiten de inschrijvingen in principe om 12:00 op de dinsdag voor aanvang van de cursus.  Schrijf je dus uiterlijk dinsdag 10 juni 11:59u in!

Ga terug waar fotografie mee begon: analoge fotografie. In plaats van onbeperkt foto’s maken met je telefoon of digitale camera maak je bewuste foto’s op een echt rolletje.

Leer je analoge camera goed in te stellen; ontvang alle tips en tricks rondom het gebruiken van film en raak geïnspireerd door bekende fotografen om je eigen fotoseries te ontwikkelen. Wil je wel meedoen maar heb je (nog) geen analoge camera? Geen probleem; je kan ook meedoen als je een wegwerpcamera meeneemt!

Wat gaan we doen?

Tijdens deze cursus leer je anders kijken naar je omgeving en dat bewust vast te leggen. Door middel van creatieve fotografie-elementen gaan we samen de Amsterdamse straten op om een rolletje vol te schieten (36 foto’s) binnen 2;5 uur tijd!"
Anatomy,ma,10:30 - 17:00,ma 10:30 - 17:00,15-07-2024,5 dagen,blok 4 - zomer,student:€195jong-alumnus UvA/HvA:€292oud-alumnus UvA/HvA:€292medewerker UvA/HvA:€292overigen:€390,623915,Shahin Daoud,English,Sorry; deze cursus is vol,https://www.crea.nl/courses/zomercursussen/beeldend-zomer/anatomy/,beeldend (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

Let op: dit is een Engelse cursus!

This course is an introduction to drawing the human figure from a photographic reference or a live model using a variety of art materials (pencil; charcoal and pastel); techniques; and artistic approaches. This course helps students obtain the basic skill of drawing the human form; including anatomy; observation of the human form and fundamental exercises in gesture; contour; outline; and tonal modeling.

The course objectives are as follows:

Understand basic anatomical relationships relevant to descriptive drawing of the human form.

Demonstrate competence in linear methods of drawing images of the life model.

Demonstrate competence in tonal methods of drawing images of the life model.

Understand and be able to depict basic proportional relationships of the life model.

Understand rhythms of the body and natural forms and how they exist in the whole and parts of the figure.

What will you be doing? You will work on traditional life drawing skills to create convincing representations of the three-dimensional form of the body. This can be a great challenge. You will learn how to tackle those challenges; and how an awareness of anatomy can help you overcome them. Even a basic knowledge of the forms of the body can make a big difference!"
Anatomy Drawing,ma,10:00 - 12:30,ma 10:00 - 12:30,07-04-2025,9 weken,block 3 - spring,student:€157jong-alumnus UvA/HvA:€230oud-alumnus UvA/HvA:€268medewerker UvA/HvA:€230overigen:€316,624318,Shahin Daoud,English,Schrijf je in voor de wachtlijst,https://www.crea.nl/courses/beeldend/anatomy-drawing/,beeldend,"Let op: deze cursus wordt in het Engels gegeven.

This course is an extensive introduction to drawing the human figure from a photographic reference/live model using a variety of art materials (pencil – charcoal -pastel); techniques; and artistic approaches. The purpose of this course is to help you obtain the basic skill of drawing the human form; including anatomy; observation of the human form and fundamental exercises in gesture; contour; outline; and tonal modelling.

What will you be doing? This course’s objectives are:

to understand basic anatomical relationships relevant to descriptive drawing of the human form;

to draw images of the live model with linear methods;

to draw images of the model with tonal methods;

to understand and being able to depict the proportions of the life model;

to understand the rhythms and natural forms of the body; and how they exist in the whole and parts of the figure.

Most of the class time will be structured around drawing the human figure (head/hands). Each class will focus on specific objectives. Numerous demonstrations will be given during the course.

“Energetic; engaged; and inspiring teacher; who gave us tailored and precise feedback. I feel I made huge progress.”– Course participant (season 2023-2024/block 2)

Walk-In Studio Model Drawing; Can’t get enough? Try our Walk-In Studio Model Drawing! Every Saturday morning from 10:30 to 13:00 you are welcome to come practice model drawing with a (nude) model under supervision of CREA teachers."
Any Blue Koor,ma,17:45 - 19:45,ma 17:45 - 19:45,30-09-2024,15 weken,project - 1,student:€110jong-alumnus UvA/HvA:€167oud-alumnus UvA/HvA:€197medewerker UvA/HvA:€167overigen:€231,224503,Mirjam van Dam,English; Nederlands,Sorry; deze cursus is vol,https://www.crea.nl/courses/muziek/any-blue-koor/,muziek,"Any Blue is een koor voor gevorderden. Heb je eerder in een koor gezongen of heb je al de nodige zangervaring? Meld je aan!

Wat ga je doen? We zingen een gevarieerd repertoire van klassiek/jazz/pop. Kortom: drie-; vier-; vijf -en wie weet nog-meer-meerstemmig! Om thuis je partij te kunnen instuderen krijg je bladmuziek en audiovoorbeelden per mail toegestuurd. Houd dus rekening met huiswerk. Belangrijk is dat je er elke week bent.

Meezingen? Kom nadat je je hebt ingeschreven voor de cursus naar CREA voor een stemtest op maandag 10 februari 2025 om 18:00 uur (volgend cursusjaar rond eind september 2025) Je zingt voor in een groepje. Voor het voorzingen hoef je niets voor te bereiden. Na de stemtest krijg je binnen een week bericht of je mee kunt zingen. Het Any Blue koor repeteert elke maandag in de CREA Muziekzaal.

“Leuke cursus; goede docent.”– Cursist (seizoen 2023-2024/blok 1)"
Any Blue Koor,ma,17:45 - 19:45,ma 17:45 - 19:45,17-02-2025,15 weken,project - 2,student:€110jong-alumnus UvA/HvA:€167oud-alumnus UvA/HvA:€197medewerker UvA/HvA:€167overigen:€231,224603,Mirjam van Dam,English; Nederlands,Deze cursus is gestart,https://www.crea.nl/courses/muziek/any-blue-koor/,muziek,"Any Blue is een koor voor gevorderden. Heb je eerder in een koor gezongen of heb je al de nodige zangervaring? Meld je aan!

Wat ga je doen? We zingen een gevarieerd repertoire van klassiek/jazz/pop. Kortom: drie-; vier-; vijf -en wie weet nog-meer-meerstemmig! Om thuis je partij te kunnen instuderen krijg je bladmuziek en audiovoorbeelden per mail toegestuurd. Houd dus rekening met huiswerk. Belangrijk is dat je er elke week bent.

Meezingen? Kom nadat je je hebt ingeschreven voor de cursus naar CREA voor een stemtest op maandag 10 februari 2025 om 18:00 uur (volgend cursusjaar rond eind september 2025) Je zingt voor in een groepje. Voor het voorzingen hoef je niets voor te bereiden. Na de stemtest krijg je binnen een week bericht of je mee kunt zingen. Het Any Blue koor repeteert elke maandag in de CREA Muziekzaal.

“Leuke cursus; goede docent.”– Cursist (seizoen 2023-2024/blok 1)"
Aquarel en Inkt,wo,17:00 - 19:30,wo 17:00 - 19:30,16-04-2025,9 weken,block 3 - spring,student:€157jong-alumnus UvA/HvA:€230oud-alumnus UvA/HvA:€268medewerker UvA/HvA:€230overigen:€316,624303,Barbara Guldenaar,English; Nederlands,Schrijf je in voor de wachtlijst,https://www.crea.nl/courses/beeldend/aquarel-en-inkt/,beeldend,"Ga aan de slag met minimaal materiaal zoals papier; water en pigment om de mooiste vogels; wolken; en botanische schoonheden te creëren; of ga helemaal abstract en laat je verrassen door de onvoorspelbaarheid van het materiaal.

Durf te spelen met veel water op je papier en geniet van de fijne; transparante kwaliteit van aquarel en inkt.

Wat ga je doen?
Tijdens deze cursus leer je werken met verschillende aquareltechnieken en verken je diverse onderwerpen zoals exotische dieren; insecten; modellen en portretten.

 

Inloopatelier modeltekenen
Wil je meer? Check dan het inloopatelier modeltekenen: elke zaterdagochtend van 10:30 tot 13:00 uur; met (naakt)model en onder begeleiding van CREA-docenten Beeldend."
Aquarel op keramiek,ma,10:30 - 17:00,ma 10:30 - 17:00,29-07-2024,5 dagen,blok 4 - zomer,student:€195jong-alumnus UvA/HvA:€292oud-alumnus UvA/HvA:€292medewerker UvA/HvA:€292overigen:€390,623939,Barbara Guldenaar,English; Nederlands,Deze cursus is gestart,https://www.crea.nl/courses/zomercursussen/beeldend-zomer/aquarel-op-keramiek/,beeldend (zomer),"Deze cursus is onderdeel van het cursusprogramma van zomer 2024. Inschrijven is helaas niet meer mogelijk. Het programma voor zomer 2025 komt in april 2025 online.

Majolica is een glazuurtechniek om decoratie aan te brengen op keramiek. Deze manier van werken is een eeuwenoud ambacht en dat is juist vandaag de dag een mooie vertraging in alle drukte om ons heen.

Wat gaan we doen? Om een vrije hand van schilderen te krijgen en om te leren werken met vloeiende kleuren is een les aquarel op papier een goede basis. Er wordt ook gewerkt met grote Chinese penselen en zwarte inkt om te leren balans in de tekening te krijgen. Ook de geschiedenis van decoratietechnieken komt aan bod; denk hierbij onder andere aan Delfts Blauw en Harlinger tegelwerk. Een zeer ontspannen uitje naar de Hortus Botanicus halverwege de cursusweek zal voor de welkome inspiratie zorgen. We werken toe naar een stuk gebruikskeramiek met eigen schildering gedecoreerd; en er zal tijd zijn voor origami en zelfs een mooie verpakking van het werk krijgt aandacht."
Argentijnse Tango,di,20:00 - 21:15,di 20:00 - 21:15,15-04-2025,9 weken,block 3 - spring,student:€79jong-alumnus UvA/HvA:€115oud-alumnus UvA/HvA:€134medewerker UvA/HvA:€115overigen:€157,424352,Tara Margo,English; Nederlands,Schrijf je in voor de wachtlijst,https://www.crea.nl/courses/dans/argentijnse-tango/,partnerdans / dans,"Argentijnse tango wordt tegenwoordig over de hele wereld gedanst. Het is een fysieke conversatie tussen twee mensen; met onbegrensde mogelijkheden om te improviseren en jezelf te uiten. De dans is door zijn oorsprong in de sociale uitgaansgelegenheden van Buenos Aires en Montevideo in het begin van de vorige eeuw geschikt voor iedereen. Ieder individu danst anders en geen enkele tango zal daarom ooit twee keer hetzelfde gedanst worden.

Wat gaan we doen?
In deze beginnerscursus leer je de basis die nodig is om stap voor stap te kunnen improviseren; de bewegingen waar 90% van de dans uit is opgebouwd. Je leert in deze basiscursus zowel de beginselen van het leiden als van het volgen; om de structuur van de dans zo goed mogelijk te leren begrijpen.  We gaan uit van de zogenaamde ‘tango salon’; tango zoals die in de salons (milongas) van Buenos Aires gedanst wordt; dus niet de showdans die veel in theaters te zien is.

Tijdens deze cursus wissel je veel van rol en danspartner. Hoe jij je ook identificeert; tango is voor iedereen. Het leert je bewegen in contact met een ander persoon waardoor jij je non-verbale communicatie skills ontwikkelt en leuke nieuwe mensen ontmoet."
Argentijnse Tango: Solostyle,di,18:30 - 19:45,di 18:30 - 19:45,15-04-2025,9 weken,block 3 - spring,student:€79jong-alumnus UvA/HvA:€115oud-alumnus UvA/HvA:€134medewerker UvA/HvA:€115overigen:€157,424351,Tara Margo,English; Nederlands,Schrijf je in,https://www.crea.nl/courses/dans/argentijnse-tango-solostyle/,partnerdans / dans,Altijd al Tango willen proberen; maar vind je het dansen met een partner nog net een stapje te ver? Of wil je graag aan je eigen techniek werken als volger? Kom dan kennismaken met de melancholische muziek en elegante bewegingen van Argentijnse tango. Je leert technische elementen om je balans op hakken te ontwikkelen; maar ook de sensuele sierlijkheid van deze dans krijgt de ruimte.
